Site Category,Site Name,Site Domain,Pocket Listings
sub-domain,Natalia Cerpa - Nest Finders - CA,cerpagroup.nestfindersca.com,0 listings: []
sub-domain,Kelly Baldwin - Real Estate Experts,kelly.therealexperts.com,0 listings: []
sub-domain,Ryan Bakalarski - City Real Estate,tbg.cityrealestatesf.com,0 listings: []
sub-domain,Justin Hedemark - Helm Real Estate,justin.helmrealestate.com,0 listings: []
sub-domain,Tim and Ryan - Real Estate Experts (2.0),timandryan.therealexperts.com,0 listings: []
sub-domain,Maria Jimenez - Nest Finders,singular.nestfinderstx.com,0 listings: []
sub-domain,scottpiperelation,scott.elationre.com,0 listings: []
sub-domain,David Staruch - Nest Finders - FL,pelicanteam.nestfindersfl.com,0 listings: []
sub-domain,Melissa Jean Stearns - Room Real Estate,mj.roomsantacruz.com,0 listings: []
sub-domain,Oliver Kane - Boutique Real Estate,renovate.inmotionreca.com,0 listings: []
sub-domain,Rosemary Yandell - Elation Real Estate,rosie.elationre.com,0 listings: []
sub-domain,Nancy Foley - Pro Players Realty Usa,fancyrealty.proplayersrealtyusa.com,0 listings: []
sub-domain,Jamie - Kindred SF Homes (2.0),jamiecomersf.kindredsfhomes.com,0 listings: []
sub-domain,Holmes and Properties - Nest Finders,hpg.nestfinderstx.com,0 listings: []
sub-domain,Karen Kounter - Major League Properties,karenkounterteam.majorleaguesocal.com,0 listings: []
sub-domain,Dorothy Tangren - Echelon Real Estate,dorothy.echeloncalifornia.com,0 listings: []
sub-domain,Nneka Jenkins - Real Estate Expert (2.0),nneka.therealexperts.com,0 listings: []
sub-domain,Omar Murillo - Everhome Real Estate,omar.everhomere.com,0 listings: []
sub-domain,Victor Tran - Kinetic Real Estate,vic.kineticrealestate.com,0 listings: []
sub-domain,Nicole Castaneda - Nest Finders,ncg.nestfinderstx.com,0 listings: []
sub-domain,Marcell - House of Kinoko (2.0),marcell.houseofkinoko.com,0 listings: []
sub-domain,Wayne Ho,wayne.trustreca.com,0 listings: []
sub-domain,MaryBeth McLaughlin - Room Real Estate,marybeth.roomsantacruz.com,0 listings: []
sub-domain,Jury Hernandez - Luker & Co. Real Estate,thebeaconteam.lukerandco.com,0 listings: []
sub-domain,Martin Leon - Harper Real Estate,martin.harperre.com,0 listings: []
sub-domain,Joseph Hittinger,josephhittinger.mosaikrealestate.com,0 listings: []
sub-domain,Morgan Dettling - Bella Vie Real Estate,morgan.bellavierealestate.com,0 listings: []
sub-domain,Jonathan Dearman - City Real Estate,dearmangroup.cityrealestatesf.com,0 listings: []
sub-domain,Glenda Dexter - Nest Finders - FL,thedextergroup.nestfindersfl.com,0 listings: []
sub-domain,Tyler LaMoureaux - Bella Vie Real Estate,tyler.bellavierealestate.com,0 listings: []
sub-domain,Dan Lamoureaux - Bella Vie Real Estate,dan.bellavierealestate.com,0 listings: []
sub-domain,Bespoke Realty Group - Nest Finders,bespoke.nestfinderstx.com,0 listings: []
sub-domain,Virginia Perillo - Momentum Luxury RE,beautifulhomes.momentumlux.com,0 listings: []
sub-domain,Lynn Flynn - BarbCo Real Estate (2.0),lynn.realestatesf.com,0 listings: []
sub-domain,Sarah Knauer - Amalfi Estates (2.0),sarah.amalfiestates.com,0 listings: []
sub-domain,Anna Bellomo - District Homes,anna.district-homes.com,0 listings: []
sub-domain,Katie Rothacker - Power of 2 (2.0),katie.powerof2realty.com,0 listings: []
sub-domain,Oggi Kashi - Northpoint RE (2.0),oggi.yournorthpoint.com,0 listings: []
sub-domain,SM Real Estate Group - Nest Finders,sm.nestfinderstx.com,0 listings: []
sub-domain,Joan Gordon - City Real Estate (2.0),joan.cityrealestatesf.com,0 listings: []
sub-domain,Audrey Carlos-Quiggins,audrey.therealexperts.com,0 listings: []
sub-domain,Sandy Jones BarbCo Real Estate (2.0),sandyjones.realestatesf.com,0 listings: []
sub-domain,Dev Singh - Real Estate Experts (2.0),devsingh.therealexperts.com,0 listings: []
sub-domain,Marina Morales,marina.bellavierealestate.com,0 listings: []
sub-domain,Michael Baldasarra - Bay Real Estate,michael.bayregroup.com,0 listings: []
sub-domain,Kris Soudah - Fifty Hills Real Estate,soudahrealty.fiftyhills.com,0 listings: []
sub-domain,Elizabeth Alligood - Times Real Estate,elizabethalligoodgroup.plusonerealestate.com,0 listings: []
sub-domain,Brad Garofalo - Real Estate Experts,brad.therealexperts.com,0 listings: []
sub-domain,Mike Annunziata - Northpoint (2.0),mike.yournorthpoint.com,0 listings: []
sub-domain,Mario Desantis - Room Real Estate,mario.roomsantacruz.com,0 listings: []
sub-domain,California Khare Real Estate Group - NF,ckre.nestfindersca.com,0 listings: []
sub-domain,The Manley Team,themanleyteam.guidere.com,0 listings: []
sub-domain,Margot Rose Edde - Bay Real Estate Group,margot.bayregroup.com,0 listings: []
sub-domain,Anthony Scaraggi - Nest Finders - FL,dynamic.nestfindersfl.com,0 listings: []
sub-domain,Shandy Stogsdill - Nest Finders,stogsdill.nestfinderstx.com,0 listings: []
sub-domain,Tanya Lechner - Nest Finders,sunshine.nestfinderstx.com,0 listings: []
sub-domain,Anthony Shepherd - Prime Real Estate,shepherdgroup.goprimere.com,0 listings: []
sub-domain,Yvette Teng - Everhome Real Estate,yvette.everhomere.com,0 listings: []
sub-domain,The Masih Team - Room Real Estate,evangela.roomsantacruz.com,0 listings: []
sub-domain,Katharine Watton - Nest Finders,crg.nestfinderstx.com,0 listings: []
sub-domain,Side Demo Subsite,agent1.sidedemo.com,0 listings: []
sub-domain,Erin Mills - Lodestone Real Estate,erinmills.lodestoneca.com,0 listings: []
sub-domain,Guillean Arradaza + Kinetic Real Estate,guillean.kineticrealestate.com,0 listings: []
sub-domain,Laura Lanzone - Northpoint (2.0),laura.yournorthpoint.com,0 listings: []
sub-domain,Sarah Jamshidi - Nest Finders,redfoxxrealtygroup.nestfinderstx.com,0 listings: []
sub-domain,Eric Wanene - Banyan Commercial,thewanenegroup.banyanproperties.com,0 listings: []
sub-domain,Latrice Deluna - Orion Real Estate,latricedelunahomes.theorionre.com,0 listings: []
sub-domain,Roxana Alarcon - Energy Realty,roxana.energy-realty.com,0 listings: []
sub-domain,Grecia Marin - Liv Texas,gmpgroup.livtexas.com,0 listings: []
sub-domain,Gary Saydah - Helm Real Estate (2.0),gary.helmrealestate.com,0 listings: []
sub-domain,Keely + Sylvia - Real Estate Team,keelyandsylvia.polaris-re.com,"3 listings: ['https://keelyandsylvia.polaris-re.com/listing/280-via-la-paz/', 'https://keelyandsylvia.polaris-re.com/listing/72-cottonwood-dr/', 'https://keelyandsylvia.polaris-re.com/listing/55-corte-de-sabla/']"
sub-domain,Amanda Martin - BarbCo Real Estate (2.0),amanda.realestatesf.com,0 listings: []
sub-domain,Debbie Bruno - Bella Vie Real Estate,debbie.bellavierealestate.com,0 listings: []
sub-domain,Colleen Hartley - Stroyke Prop (2.0),colleen.stroykeproperties.com,0 listings: []
sub-domain,Meryl Bennan - BarbCo Real Estate,meryl.realestatesf.com,0 listings: []
sub-domain,Greta Eoff - Bella Vie Real Estate,greta.bellavierealestate.com,0 listings: []
sub-domain,"Thomas Nelson, Jr. - Bella Vie RE",tom.bellavierealestate.com,0 listings: []
sub-domain,Shao-Ying (Shirley) Liang - Bay RE Group,shirley.bayregroup.com,0 listings: []
sub-domain,Zachary Dworsky - Momentum Luxury RE,advantageluxurygroup.momentumlux.com,0 listings: []
sub-domain,Tony Fery - Real Estate Experts,tony.therealexperts.com,0 listings: []
sub-domain,Jaya Joshi,jaya.thetownre.com,0 listings: []
sub-domain,Theresa Lee - Bella Vie Real Estate,theresa.bellavierealestate.com,0 listings: []
sub-domain,Chelsea Shang - Momentum Realty (2.0),momentumsocal.momentumbayarea.com,0 listings: []
sub-domain,Jocelyn Lomahan,jocelyn.theavenuehc.com,0 listings: []
staging,SIMPLE Real Estate,simplere.wpengine.com,0 listings: []
staging,Manor Real Estate - Legacy,manorre.wpengine.com,0 listings: []
staging,Denton & Denton Group,dentonanddent2.wpengine.com,0 listings: []
staging,Align Real Estate - CA,alignca.wpengine.com,0 listings: []
staging,EQTY Real Estate,eqtyre.wpengine.com,0 listings: []
staging,Debuire International Realty,debuirerealty.wpengine.com,0 listings: []
staging,"Sand & Sea Investments, Inc.",sandseaprod.wpengine.com,0 listings: []
staging,Cheyenne Ward - Duplicated,cheyenneprod.wpengine.com,0 listings: []
staging,Fitted Real Estate,fittedre.wpengine.com,0 listings: []
staging,Jaime DuPont,jaimedupont.wpengine.com,0 listings: []
staging,Curtis Test Site,curtistestsite.wpengine.com,0 listings: []
staging,Ahead of the Curve Homes,aotcprod.wpengine.com,0 listings: []
staging,Ian Batra - Real Estate Experts,ianbatrarex.wpengine.com,0 listings: []
staging,Urban Brokers Real Estate - MD,urbanbrokers.wpengine.com,0 listings: []
staging,Cush Real Estate (2.0),cushrealestate.wpengine.com,0 listings: []
staging,Local Insight Realty,localinsight.wpengine.com,0 listings: []
staging,Rocks Realty,rocksrealty.wpengine.com,0 listings: []
staging,On the Run Realty Group,ontherunrealty.wpengine.com,0 listings: []
staging,VRAI Realty,vrairealty.wpengine.com,0 listings: []
staging,Pink Mobile Homes,pinkmh.wpengine.com,0 listings: []
staging,DPP Real Estate,dpprestg.wpengine.com,"36 listings: ['https://dpprestg.wpengine.com/listing/windsor-row-townhomes/', 'https://dpprestg.wpengine.com/listing/1832-n-grace-avenue/', 'https://dpprestg.wpengine.com/listing/willoughby-lofts/', 'https://dpprestg.wpengine.com/listing/855-croft-lofts/', 'https://dpprestg.wpengine.com/listing/habitat-on-the-park/', 'https://dpprestg.wpengine.com/listing/the-exposition/', 'https://dpprestg.wpengine.com/listing/sunset-5/', 'https://dpprestg.wpengine.com/listing/ocean-park-lofts/', 'https://dpprestg.wpengine.com/listing/metropol/', 'https://dpprestg.wpengine.com/listing/hacienda-lofts/', 'https://dpprestg.wpengine.com/listing/luminaire/', 'https://dpprestg.wpengine.com/listing/historic-vista-del-arroyo/', 'https://dpprestg.wpengine.com/listing/neilson-way-townhomes/', 'https://dpprestg.wpengine.com/listing/lofts-cherokee-studios/', 'https://dpprestg.wpengine.com/listing/edgecliffe-terrace-homes/', 'https://dpprestg.wpengine.com/listing/10-palms/', 'https://dpprestg.wpengine.com/listing/market-mews/', 'https://dpprestg.wpengine.com/listing/abbot-kinney-live-work/', 'https://dpprestg.wpengine.com/listing/formosa-1140/', 'https://dpprestg.wpengine.com/listing/habitat-15/', 'https://dpprestg.wpengine.com/listing/940-east-2nd-street/', 'https://dpprestg.wpengine.com/listing/beverly-grove-homes/', 'https://dpprestg.wpengine.com/listing/hyperion-4/', 'https://dpprestg.wpengine.com/listing/ten50/', 'https://dpprestg.wpengine.com/listing/the-courtyard-apartments-craig-ellwood-1952-53/', 'https://dpprestg.wpengine.com/listing/las-orquideas-spanish-revival-compound/', 'https://dpprestg.wpengine.com/listing/millard-creek-a-new-collection-of-contemporary-townhomes/', 'https://dpprestg.wpengine.com/listing/pomona-lexington-manor/', 'https://dpprestg.wpengine.com/listing/sierra-bonita-place/', 'https://dpprestg.wpengine.com/listing/west-grove-pasadena/', 'https://dpprestg.wpengine.com/listing/monaco-terrace/', 'https://dpprestg.wpengine.com/listing/rowena-walk-green-city-building-company/', 'https://dpprestg.wpengine.com/listing/alta/', 'https://dpprestg.wpengine.com/listing/habitat-on-the-park-2/', 'https://dpprestg.wpengine.com/listing/torre-del-moro/', 'https://dpprestg.wpengine.com/listing/bridgeview-terrace/']"
staging,Evoke Real Estate,evokeprod.wpengine.com,0 listings: []
staging,Adrian - House of Kinoko (2.0),adriankinoko.wpengine.com,0 listings: []
staging,Front Society,frontsociety.wpengine.com,0 listings: []
staging,Zach's Test Site,victoriastre.wpengine.com,0 listings: []
staging,Official Partners (Alexander Team),officialny.wpengine.com,0 listings: []
staging,Madison Stomberg - Bella Vie Real Estate,stomberg.wpengine.com,0 listings: []
staging,TeamFIT,teamfitre.wpengine.com,0 listings: []
staging,The High Tide Group,hightidegroup.wpengine.com,0 listings: []
staging,Mirror Real Estate,mirrorre.wpengine.com,0 listings: []
staging,Ajility Real Estate,ajilityre.wpengine.com,0 listings: []
staging,r Homes Group,rhomesgroup.wpengine.com,0 listings: []
staging,Atlantic Waterfront Properties,atlanticwfp.wpengine.com,0 listings: []
staging,Anvil Real Estate (2.0),anvilreinc.wpengine.com,0 listings: []
staging,Homes By Slate,homesbyslate.wpengine.com,0 listings: []
staging,David Ferrugio - Revel Real Estate (2.0),davidrevelreal.wpengine.com,0 listings: []
staging,Cusp Real Estate,cuspreal.wpengine.com,0 listings: []
staging,Strait Group,straitgroup.wpengine.com,0 listings: []
staging,Outpost Real Estate,outpostreprod.wpengine.com,0 listings: []
staging,redefinere,redefinere.wpengine.com,1 listings: ['https://redefinere.wpengine.com/listing/13151-mcdole-02/']
staging,Flatwater Realty,flatwaterre.wpengine.com,0 listings: []
staging,Highrises2Homes - Leslie B - City RE,hr2h.wpengine.com,0 listings: []
staging,OPT Real Estate,optrestg.wpengine.com,1 listings: ['https://optrestg.wpengine.com/listing/33150-ne-wilsonville-rd/']
staging,Hedge Realty,hedgerealty.wpengine.com,0 listings: []
staging,Karen Dorfman,karendorfman.wpengine.com,0 listings: []
staging,Coastal Legacy Realty Group,coastallegacy.wpengine.com,0 listings: []
staging,mountainluxuryprops,mountainluxury.wpengine.com,0 listings: []
staging,Trend Real Estate,trendre.wpengine.com,0 listings: []
staging,Steven Debug 09,stevendebug09.wpengine.com,0 listings: []
staging,Jeremy Davidson - Ascend Real Estate,davidsonascend.wpengine.com,0 listings: []
staging,Talent Real Estate,talentre.wpengine.com,0 listings: []
staging,FLouDizonHomes,floudizonhomes.wpengine.com,0 listings: []
staging,Integrity Texas Properties (2.0),integritytx2.wpengine.com,0 listings: []
staging,Colorado Is Home,coloradoishome.wpengine.com,0 listings: []
staging,The Cross Street Team,crossstreettm.wpengine.com,0 listings: []
staging,Inside Real Estate,insidere.wpengine.com,"4 listings: ['https://insidere.wpengine.com/listing/123-street-dr/', 'https://insidere.wpengine.com/listing/305-main-st/', 'https://insidere.wpengine.com/listing/123-side-avenue-2/', 'https://insidere.wpengine.com/listing/123-side-avenue/']"
staging,Ray Su,raysu.wpengine.com,0 listings: []
staging,Resilient - To be deleted,resilientre.wpengine.com,0 listings: []
staging,Keith Trainor - Room Real Estate,keithtrainor.wpengine.com,0 listings: []
staging,givingbackre,givingbackre.wpengine.com,0 listings: []
staging,The Alexander Team- Douglas Elliman RE,alexanderteam.wpengine.com,1 listings: ['https://alexanderteam.wpengine.com/listing/1234-side-st/']
staging,bouHAUS,bouhausprod.wpengine.com,0 listings: []
staging,Bespoke Realty,bespokerealty.wpengine.com,0 listings: []
staging,Sand + Sea Real Estate,sandseare.wpengine.com,0 listings: []
staging,Veridian Realty,veridianrealty.wpengine.com,0 listings: []
staging,Paul Barbagelata BarbCo RE (2.0),paulbarbco.wpengine.com,0 listings: []
staging,Scott Piper - Duplicated,scottelation.wpengine.com,0 listings: []
staging,Hayley Elevation Real Estate,hayleyelevatio.wpengine.com,0 listings: []
staging,True Florida Real Estate,trueflorida.wpengine.com,0 listings: []
staging,DPP Real Estate,dppre.wpengine.com,"49 listings: ['https://dppre.wpengine.com/listing/windsor-row-townhomes/', 'https://dppre.wpengine.com/listing/1832-n-grace-avenue/', 'https://dppre.wpengine.com/listing/willoughby-lofts/', 'https://dppre.wpengine.com/listing/855-croft-lofts/', 'https://dppre.wpengine.com/listing/habitat-on-the-park/', 'https://dppre.wpengine.com/listing/the-exposition/', 'https://dppre.wpengine.com/listing/sunset-5/', 'https://dppre.wpengine.com/listing/ocean-park-lofts/', 'https://dppre.wpengine.com/listing/metropol/', 'https://dppre.wpengine.com/listing/hacienda-lofts/', 'https://dppre.wpengine.com/listing/luminaire/', 'https://dppre.wpengine.com/listing/historic-vista-del-arroyo/', 'https://dppre.wpengine.com/listing/neilson-way-townhomes/', 'https://dppre.wpengine.com/listing/lofts-cherokee-studios/', 'https://dppre.wpengine.com/listing/edgecliffe-terrace-homes/', 'https://dppre.wpengine.com/listing/10-palms/', 'https://dppre.wpengine.com/listing/market-mews/', 'https://dppre.wpengine.com/listing/abbot-kinney-live-work/', 'https://dppre.wpengine.com/listing/formosa-1140/', 'https://dppre.wpengine.com/listing/habitat-15/', 'https://dppre.wpengine.com/listing/940-east-2nd-street/', 'https://dppre.wpengine.com/listing/beverly-grove-homes/', 'https://dppre.wpengine.com/listing/hyperion-4/', 'https://dppre.wpengine.com/listing/ten50/', 'https://dppre.wpengine.com/listing/the-courtyard-apartments-craig-ellwood-1952-53/', 'https://dppre.wpengine.com/listing/las-orquideas-spanish-revival-compound/', 'https://dppre.wpengine.com/listing/millard-creek-a-new-collection-of-contemporary-townhomes/', 'https://dppre.wpengine.com/listing/pomona-lexington-manor/', 'https://dppre.wpengine.com/listing/sierra-bonita-place/', 'https://dppre.wpengine.com/listing/west-grove-pasadena/', 'https://dppre.wpengine.com/listing/monaco-terrace/', 'https://dppre.wpengine.com/listing/rowena-walk-green-city-building-company/', 'https://dppre.wpengine.com/listing/alta/', 'https://dppre.wpengine.com/listing/habitat-on-the-park-2/', 'https://dppre.wpengine.com/listing/torre-del-moro/', 'https://dppre.wpengine.com/listing/bridgeview-terrace/', 'https://dppre.wpengine.com/listing/315-10th-st/', 'https://dppre.wpengine.com/listing/g-w-stimson-victorian/', 'https://dppre.wpengine.com/listing/1485-san-pasqual-street/', 'https://dppre.wpengine.com/listing/distinguished-colonial-revival-lucille-w-luckhardt-1925/', 'https://dppre.wpengine.com/listing/thomson-residence-buff-straub-hensman-1957/', 'https://dppre.wpengine.com/listing/the-thompson-moseley-house-quintessential-1959-buff-straub-hensman-post-and-beam/', 'https://dppre.wpengine.com/listing/mid-century-modern-1439-lida-street-pasadena-ca-9110/', 'https://dppre.wpengine.com/listing/international-style-estate-thornton-abell-faia-1965/', 'https://dppre.wpengine.com/listing/250-trino-way-pacific-palisades-ca-90272/', 'https://dppre.wpengine.com/listing/thane-roberts-aia-1981/', 'https://dppre.wpengine.com/listing/mid-century-modern-5228-escalante-drive/', 'https://dppre.wpengine.com/listing/rebuilt-mid-century-post-beam/', 'https://dppre.wpengine.com/listing/mediterranean-estate/']"
staging,Abrams Momentum Group,abramsmomentum.wpengine.com,0 listings: []
staging,Town Real Estate (2.0),thetownre.wpengine.com,0 listings: []
primary-domain,True Houston,www.truehou.com,0 listings: []
primary-domain,House Real Estate,www.houserealestate.com,0 listings: []
primary-domain,calnativere,www.calnativere.com,0 listings: []
primary-domain,Sterling Homes (2.0),www.sterlinghomesre.com,0 listings: []
primary-domain,Asante Realty,www.asanterealty.com,0 listings: []
primary-domain,Block Change Real Estate (2.0),www.blockchangere.com,0 listings: []
primary-domain,Kinetic Real Estate (2.0),www.kineticrealestate.com,0 listings: []
primary-domain,Hello Florida Real Estate,www.hellofloridarealestate.com,0 listings: []
primary-domain,Rockford Realty,www.rockfordrealtyinc.com,0 listings: []
primary-domain,Beppu Group,www.beppugroup.com,0 listings: []
primary-domain,Monarch Real Estate,www.monarchrealestateca.com,0 listings: []
primary-domain,Luxely Real Estate - Florida,www.luxelyrefl.com,0 listings: []
primary-domain,Highland Premiere Real Estate,www.highlandpremiere.com,"6 listings: ['https://www.highlandpremiere.com/listing/12875-runway-road-3-playa-vista-ca-90094/', 'https://www.highlandpremiere.com/listing/13031-villosa-place-105-playa-vista/', 'https://www.highlandpremiere.com/listing/4140-glencoe-ave-509-los-angeles/', 'https://www.highlandpremiere.com/listing/118-wadsworth-ave-4-santa-monica/', 'https://www.highlandpremiere.com/listing/6020-seabluff-dr-303-playa-vista/', 'https://www.highlandpremiere.com/listing/5831-seawalk-dr-236-playa-vista/']"
